tag,x,y
path,-43.8262,35.8442
path,-43.9375,34.58
path,-43.7012,33.2292
path,-43.2344,31.7867
path,-42.6543,30.2475
path,-42.0781,28.6066
path,-41.623,26.8591
path,-41.4062,25
path,-41.4285,22.8214
path,-41.5688,20.2133
path,-41.7613,17.3168
path,-41.9406,14.2732
path,-42.041,11.2238
path,-41.9969,8.30988
path,-41.7426,5.6726
path,-41.2125,3.45324
path,-40.341,1.79305
path,-39.0624,0.833302
path,-37.196,0.767525
path,-34.7092,1.55674
path,-31.7592,2.99345
path,-28.5029,4.87015
path,-25.0974,6.97933
path,-21.6997,9.1135
path,-18.4669,11.0651
path,-15.556,12.6268
path,-13.124,13.5909
path,-11.328,13.75
path,-10.1935,13.0689
path,-9.57183,11.7432
path,-9.35879,9.91166
path,-9.45002,7.71307
path,-9.74125,5.28617
path,-10.1282,2.7697
path,-10.5065,0.302418
path,-10.7719,-1.97694
path,-10.8201,-3.9296
path,-10.5468,-5.41683
path,-10.0196,-6.61246
path,-9.38427,-7.75682
path,-8.6536,-8.81118
path,-7.8405,-9.73679
path,-6.95787,-10.4949
path,-6.0186,-11.0467
path,-5.03558,-11.3536
path,-4.02171,-11.3766
path,-2.98986,-11.0772
path,-1.95295,-10.4165
path,-0.887897,-9.18305
path,0.231457,-7.29961
path,1.3969,-4.9287
path,2.60022,-2.23281
path,3.83324,0.625549
path,5.08775,3.48388
path,6.35552,6.17968
path,7.62838,8.55043
path,8.89812,10.4337
yellow,11.5869,9.42921
yellow,12.3681,9.79999
yellow,13.5272,10.0774
yellow,14.8957,10.1581
yellow,16.3391,10.0219
yellow,17.7257,9.68006
yellow,18.9262,9.17142
yellow,19.82,8.57344
yellow,20.3333,8.01455
yellow,20.5288,7.59639
yellow,20.5527,7.17358
yellow,20.116,5.96337
yellow,18.9216,3.85539
yellow,17.1247,1.20613
yellow,14.9202,-1.77764
yellow,12.4881,-4.95154
yellow,9.99917,-8.19237
yellow,7.61782,-11.3894
yellow,5.50114,-14.448
yellow,3.79519,-17.3128
yellow,2.67751,-19.9513
yellow,2.18375,-22.3667
yellow,2.15942,-24.5916
yellow,2.56289,-26.6463
yellow,3.32573,-28.4618
yellow,4.3434,-30.0088
yellow,5.51648,-31.3076
yellow,6.76943,-32.4019
yellow,8.04503,-33.3356
yellow,9.29349,-34.1445
yellow,10.52,-34.8875
yellow,11.8688,-35.6114
yellow,13.3976,-36.2773
yellow,15.0464,-36.8504
yellow,16.7966,-37.3164
yellow,18.6284,-37.6577
yellow,20.5214,-37.8542
yellow,22.4546,-37.883
yellow,24.4064,-37.7185
yellow,26.3533,-37.3315
yellow,28.2116,-36.7119
yellow,30.0025,-35.9253
yellow,31.8602,-34.9992
yellow,33.7938,-33.9029
yellow,35.7574,-32.6263
yellow,37.7043,-31.1579
yellow,39.5862,-29.4844
yellow,41.3523,-27.591
yellow,42.9471,-25.4624
yellow,44.3093,-23.0864
yellow,45.3699,-20.4638
yellow,46.0912,-17.5755
yellow,46.5282,-14.4344
yellow,46.7383,-11.0925
yellow,46.767,-7.5977
yellow,46.6521,-4.00516
yellow,46.4284,-0.375038
yellow,46.1292,3.22905
yellow,45.7869,6.74096
yellow,45.4338,10.0922
yellow,45.1048,13.1834
yellow,44.8702,16.1513
yellow,44.7305,19.2195
yellow,44.6203,22.3724
yellow,44.4741,25.5565
yellow,44.2213,28.7244
yellow,43.7843,31.8334
yellow,43.0742,34.8429
yellow,41.9862,37.7018
yellow,40.4079,40.3244
yellow,38.281,42.5517
yellow,35.7003,44.2662
yellow,32.8056,45.534
yellow,29.6475,46.4487
yellow,26.2646,47.0822
yellow,22.6932,47.4909
yellow,18.9724,47.7227
yellow,15.1446,47.8206
yellow,11.2548,47.825
yellow,7.35052,47.7747
yellow,3.45919,47.7077
yellow,-0.72319,47.5823
yellow,-5.38914,47.337
yellow,-10.3684,46.9786
yellow,-15.5065,46.5131
yellow,-20.6482,45.9462
yellow,-25.6389,45.2832
yellow,-30.327,44.5283
yellow,-34.5664,43.683
yellow,-38.2266,42.7407
yellow,-41.2015,41.6708
yellow,-43.4982,40.3874
yellow,-45.2245,38.7294
yellow,-46.2583,36.6218
yellow,-46.4733,34.4421
yellow,-46.1534,32.5269
yellow,-45.6122,30.8368
yellow,-45.0215,29.2682
yellow,-44.4931,27.7704
yellow,-44.1134,26.3313
yellow,-43.942,24.861
yellow,-43.9659,22.9194
yellow,-44.1026,20.3876
yellow,-44.2948,17.4972
yellow,-44.4767,14.4057
yellow,-44.58,11.2511
yellow,-44.5318,8.15482
yellow,-44.2448,5.21278
yellow,-43.5817,2.47935
yellow,-42.2515,0.00918961
yellow,-39.8047,-1.75671
yellow,-36.8051,-1.90852
yellow,-33.7994,-0.971733
yellow,-30.6227,0.571533
yellow,-27.2607,2.50805
yellow,-23.8157,4.64138
yellow,-20.4296,6.76838
yellow,-17.2672,8.6782
yellow,-14.5272,10.1507
yellow,-12.5104,10.9628
yellow,-11.7462,11.0786
yellow,-12.0496,11.2208
yellow,-12.0156,11.0081
yellow,-11.8965,9.82438
yellow,-11.9793,7.95102
yellow,-12.2536,5.67831
yellow,-12.6339,3.20745
yellow,-13.0194,0.690163
yellow,-13.3031,-1.76352
yellow,-13.353,-4.11816
yellow,-12.9663,-6.23817
yellow,-12.2632,-7.88062
yellow,-11.5008,-9.25294
yellow,-10.6058,-10.543
yellow,-9.57048,-11.7192
yellow,-8.37705,-12.7407
yellow,-6.99937,-13.5449
yellow,-5.42421,-14.03
yellow,-3.7027,-14.0635
yellow,-1.97685,-13.5607
yellow,-0.314365,-12.4854
yellow,1.14574,-10.8046
yellow,2.43463,-8.64584
yellow,3.66911,-6.13733
yellow,4.9,-3.38058
yellow,6.13632,-0.514675
yellow,7.37283,2.30318
yellow,8.59443,4.90229
yellow,9.76934,7.09448
yellow,10.8182,8.66152
blue,8.72557,13.9041
blue,10.7369,14.9296
blue,12.829,15.4426
blue,14.9804,15.574
blue,17.1358,15.3715
blue,19.2372,14.8512
blue,21.2238,14.0019
blue,23.0265,12.7736
blue,24.5293,11.0655
blue,25.4793,8.8032
blue,25.5411,6.15976
blue,24.6622,3.54996
blue,23.1472,0.851265
blue,21.1738,-2.06282
blue,18.8798,-5.16903
blue,16.4182,-8.38182
blue,13.9508,-11.5943
blue,11.6462,-14.6873
blue,9.68009,-17.5254
blue,8.23917,-19.9339
blue,7.47874,-21.7154
blue,7.2264,-23.0058
blue,7.21558,-24.0884
blue,7.39414,-24.9779
blue,7.73678,-25.7782
blue,8.25425,-26.5537
blue,8.95227,-27.319
blue,9.81259,-28.0656
blue,10.7987,-28.7844
blue,11.8666,-29.4747
blue,12.9175,-30.1125
blue,13.9659,-30.6782
blue,15.1399,-31.1894
blue,16.4454,-31.6433
blue,17.8471,-32.0169
blue,19.311,-32.2902
blue,20.8036,-32.4458
blue,22.2919,-32.4691
blue,23.7436,-32.3482
blue,25.1283,-32.0748
blue,26.4759,-31.6215
blue,27.9541,-30.9689
blue,29.5898,-30.1541
blue,31.2776,-29.1979
blue,32.9675,-28.1004
blue,34.6101,-26.863
blue,36.1574,-25.489
blue,37.5645,-23.9833
blue,38.7904,-22.351
blue,39.8004,-20.5945
blue,40.5676,-18.703
blue,41.1146,-16.4975
blue,41.4781,-13.8658
blue,41.6636,-10.8931
blue,41.6893,-7.66916
blue,41.5803,-4.27629
blue,41.3653,-0.791824
blue,41.0744,2.71031
blue,40.7381,6.15883
blue,40.3877,9.48463
blue,40.0514,12.6497
blue,39.8032,15.7931
blue,39.657,18.987
blue,39.5469,22.1395
blue,39.4072,25.1966
blue,39.1772,28.0983
blue,38.8032,30.7797
blue,38.2431,33.174
blue,37.4702,35.2247
blue,36.4657,36.91
blue,35.1567,38.2815
blue,33.4065,39.4337
blue,31.1884,40.3993
blue,28.5524,41.1595
blue,25.5607,41.7178
blue,22.2778,42.0924
blue,18.7654,42.3106
blue,15.082,42.4044
blue,11.2831,42.4084
blue,7.42215,42.3586
blue,3.57246,42.2923
blue,-0.523991,42.1698
blue,-5.09164,41.9297
blue,-9.98187,41.5777
blue,-15.0305,41.1203
blue,-20.0741,40.5643
blue,-24.9482,39.9169
blue,-29.486,39.1864
blue,-33.5147,38.3837
blue,-36.8459,37.5281
blue,-39.2672,36.6625
blue,-40.6854,35.8776
blue,-41.2755,35.324
blue,-41.394,35.0666
blue,-41.4017,34.7179
blue,-41.249,33.9315
blue,-40.8566,32.7365
blue,-40.287,31.2268
blue,-39.6631,29.4429
blue,-39.1327,27.387
blue,-38.8705,25.139
blue,-38.8911,22.7234
blue,-39.035,20.039
blue,-39.2279,17.1363
blue,-39.4046,14.1408
blue,-39.5021,11.1966
blue,-39.462,8.46495
blue,-39.2404,6.13241
blue,-38.8432,4.42713
blue,-38.4305,3.57691
blue,-38.3201,3.42331
blue,-37.5868,3.44357
blue,-35.619,4.08522
blue,-32.8956,5.41536
blue,-29.745,7.23225
blue,-26.3791,9.31729
blue,-22.9698,11.4586
blue,-19.6666,13.4521
blue,-16.5848,15.1029
blue,-13.7376,16.2189
blue,-10.9098,16.4213
blue,-8.33737,14.9169
blue,-7.12808,12.4782
blue,-6.82104,9.99893
blue,-6.92078,7.47512
blue,-7.22894,4.89405
blue,-7.62249,2.33196
blue,-7.99358,-0.085331
blue,-8.24073,-2.19036
blue,-8.28721,-3.74103
blue,-8.12733,-4.59548
blue,-7.77613,-5.34428
blue,-7.26779,-6.2607
blue,-6.70145,-7.07939
blue,-6.11051,-7.7544
blue,-5.53869,-8.24911
blue,-5.03783,-8.54861
blue,-4.64696,-8.67714
blue,-4.34071,-8.68977
blue,-4.00286,-8.59377
blue,-3.59153,-8.34766
blue,-2.92154,-7.56146
blue,-1.97171,-5.95338
blue,-0.875317,-3.72007
blue,0.300449,-1.08503
blue,1.53017,1.76577
blue,2.80266,4.66457
blue,4.11662,7.45707
blue,5.48742,10.0064
blue,6.97806,12.2058
car_start,-30.0781,41.6667
